Reason Code,Reason Description,Asset Impact,Traffic,Due Date,Priority
OTHR,Unclassified critical infrastructure issue reported requiring immediate attention.,High,Medium,0,Critical
ETMR,Severe track misalignment detected posing derailment risk; immediate correction needed.,High,Low,-4,Critical
ETMW,Track machine breakdown during possession has left the rail section unsafe for train movement; immediate rectification required.,High,Medium,-2,Critical
SREP,Signalling equipment condition slightly below standard; can be addressed in the coming days.,Medium,High,2,Urgent
EOMT,Minor delay in material train unloading noted; can be adjusted within the week.,Medium,Medium,4,Urgent
ETMR,Standard track upkeep carried out as part of regular maintenance cycle.,Low,Medium,11,Normal
SSIG,Standard signal equipment check completed with no issues found.,Low,Low,10,Normal
EOMT,Material train scheduling clash is delaying track possession; needs urgent resolution.,Medium,Low,1,Urgent
SREP,Signalling equipment showing wear during inspection; can be addressed in the coming days.,Medium,Low,3,Moderate
SSIG,Slight signal timing deviation observed; can be corrected within the week.,Medium,Medium,0,Urgent
SSIG,Signal equipment fault detected affecting reliability; urgent maintenance recommended.,High,Medium,1,Critical
ETMW,Recurring track machine faults are affecting the maintenance schedule and need urgent correction.,Medium,Low,2,Urgent
ETMW,Recurring track machine faults are affecting the maintenance schedule and need urgent correction.,Medium,Medium,1,Urgent
EOMT,Material train unloading slightly behind schedule; can be resolved in the coming days.,Low,Low,2,Moderate
ETMW,Periodic track machine inspection completed as scheduled; equipment functioning normally.,Medium,High,9,Moderate
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Medium,High,4,Urgent
ETMR,Track maintenance logged as completed under the regular upkeep cycle.,Low,Low,5,Normal
TREP,Routine electrical equipment servicing as per maintenance schedule.,Low,Low,7,Normal
ETMW,Periodic track machine inspection completed as scheduled; equipment functioning normally.,Medium,Low,12,Normal
TREP,Electrical equipment showing minor performance dip; can be addressed in the coming days.,Medium,High,7,Urgent
EOMT,Material train derailment risk identified due to loose ballast on the approach; immediate clearance needed.,Medium,Low,-2,Urgent
STEL,Telecom equipment showing frequent connectivity drops affecting coordination; urgent attention needed.,Medium,Low,1,Urgent
SREP,Standard signalling equipment check completed under regular maintenance.,Low,Low,9,Normal
OTHR,Unclassified infrastructure fault poses an immediate safety concern; urgent action required.,Medium,Medium,-1,Critical
SREP,Routine signalling equipment upkeep as per periodic schedule.,Medium,Low,6,Moderate
SSIG,Signal system fault has disrupted safe train working; immediate rectification required.,High,Medium,-3,Critical
ERRL,Rail corrugation exceeding safe limits detected on the section; replacement recommended urgently.,Medium,Low,2,Urgent
TREP,Electrical equipment showing minor performance dip; can be addressed in the coming days.,Low,Low,3,Moderate
TPWR,Traction power equipment showing slight deviation from standard; can be addressed in the coming days.,Low,High,6,Moderate
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Medium,Medium,14,Moderate
SSIG,Standard signal equipment check completed with no issues found.,Low,Low,6,Normal
EOMT,Material train movement scheduling conflict with regular traffic; can be resolved in the coming days.,Medium,Medium,0,Urgent
EOMT,Material train stopped unsafely on the running line due to a mechanical issue; immediate clearance required.,Medium,Low,-1,Urgent
TPWR,Periodic traction power equipment check completed with no issues found.,Low,Medium,14,Normal
SREP,Signalling equipment condition slightly below standard; can be addressed in the coming days.,Low,Low,4,Moderate
ETMR,Severe track misalignment detected posing derailment risk; immediate correction needed.,Medium,Low,-5,Urgent
EOMT,Material train movement scheduling conflict with regular traffic; can be resolved in the coming days.,Medium,Medium,5,Urgent
ETMR,Track buckling reported due to extreme heat; immediate repair required for safe train passage.,High,High,0,Critical
TPWR,Traction power system fault has left the section without power supply; immediate restoration required.,High,Medium,-2,Critical
OTHR,Urgent miscellaneous fault reported with significant safety implications; immediate action required.,High,High,-4,Critical
EOMT,Material train scheduling clash is delaying track possession; needs urgent resolution.,High,Medium,1,Critical
STEL,Routine telecom equipment testing as per maintenance calendar.,Low,Low,9,Normal
ERRL,Moderate rail wear observed during routine inspection; renewal can be planned within the week.,Medium,Medium,4,Urgent
STEL,Telecom equipment condition slightly below standard; can be addressed in the coming days.,Low,Medium,5,Moderate
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Medium,Medium,4,Moderate
TPWR,Traction power system fault has left the section without power supply; immediate restoration required.,Medium,Medium,-3,Critical
STEL,Telecom system failure has cut off communication with the field; immediate restoration required.,Medium,High,-4,Critical
SREP,Standard signalling equipment check completed under regular maintenance.,Low,Medium,11,Normal
EOMT,Material train stopped unsafely on the running line due to a mechanical issue; immediate clearance required.,Medium,Low,-3,Urgent
TOHE,Routine OHE cleaning and inspection as per periodic schedule.,Low,Medium,4,Moderate
SSIG,Signal equipment check completed as part of the regular inspection cycle.,Low,Medium,11,Normal
STEL,Telecom equipment check completed under the regular maintenance schedule.,Low,Low,8,Normal
ERRL,Critical rail defect identified during ultrasonic testing; immediate renewal necessary for safe operations.,Medium,High,0,Critical
ETMR,Severe track misalignment detected posing derailment risk; immediate correction needed.,High,High,-5,Critical
ETMW,Track machine logged as functioning normally during the latest periodic check.,Medium,Low,6,Moderate
TREP,Minor electrical fault noted during inspection; repair can be planned within the week.,Low,High,3,Urgent
SREP,Signalling equipment fault at a key location is affecting safe train working; immediate repair required.,High,Medium,-2,Critical
SREP,Point machine failure at a critical junction affecting train safety; immediate repair required.,Medium,Low,-5,Urgent
SREP,Signalling relay malfunction detected; urgent repair needed to avoid service impact.,High,Medium,1,Critical
SREP,Point machine failure at a critical junction affecting train safety; immediate repair required.,High,High,-1,Critical
STEL,Telecom system failure has cut off communication with the field; immediate restoration required.,Medium,Medium,-1,Critical
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Low,Medium,12,Normal
SREP,Signalling equipment failure detected at a key interlocking point; immediate repair necessary for safe operations.,High,Low,-3,Critical
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Medium,High,10,Moderate
TPWR,Traction power system fault has left the section without power supply; immediate restoration required.,Medium,High,-5,Critical
ETMW,"Track machine fault occurred while occupying the running line, creating an unsafe condition for oncoming trains; immediate action required.",Medium,High,-1,Critical
SSIG,Signal equipment showing minor irregularities during routine check; can be addressed in the coming days.,Medium,Medium,4,Urgent
OTHR,Minor miscellaneous issue noted during inspection; can be addressed within the week.,Medium,High,2,Urgent
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Low,Low,8,Normal
TOHE,OHE insulator failure causing sparking incidents; immediate maintenance required to avoid service disruption.,Medium,High,-5,Critical
ERRL,Critical rail defect identified during ultrasonic testing; immediate renewal necessary for safe operations.,High,High,-1,Critical
ETMW,Sudden track machine failure mid-operation has blocked the line unsafely; urgent intervention needed to restore safe passage.,High,Low,-5,Critical
ETMR,Track buckling reported due to extreme heat; immediate repair required for safe train passage.,High,Medium,0,Critical
TREP,Standard electrical equipment check completed under periodic maintenance.,Low,Low,12,Normal
TREP,Routine electrical equipment servicing as per maintenance schedule.,Medium,Low,10,Normal
SREP,Signalling equipment showing wear during inspection; can be addressed in the coming days.,Low,Low,4,Moderate
EOMT,Material train derailment risk identified due to loose ballast on the approach; immediate clearance needed.,Medium,Low,-4,Urgent
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Low,Low,8,Normal
OTHR,Unclassified infrastructure fault poses an immediate safety concern; urgent action required.,Medium,Low,-4,Urgent
ETMW,Sudden track machine failure mid-operation has blocked the line unsafely; urgent intervention needed to restore safe passage.,High,Medium,-2,Critical
ERRL,Scheduled rail replacement under normal asset renewal programme.,Low,High,14,Moderate
ERRL,Rail segment renewed as part of the standard asset lifecycle programme.,Low,Low,10,Normal
STEL,Total loss of telecom connectivity on the section disrupting coordination; immediate restoration necessary.,High,High,-3,Critical
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Low,Low,13,Normal
ERRL,Rail corrugation exceeding safe limits detected on the section; replacement recommended urgently.,High,High,2,Critical
ETMW,Track machine breakdown during possession has left the rail section unsafe for train movement; immediate rectification required.,Medium,High,-2,Critical
SSIG,Standard signal equipment check completed with no issues found.,Low,High,6,Moderate
ETMR,Minor track geometry deviation noted during inspection; can be addressed in the coming days.,Medium,High,1,Urgent
TOHE,OHE component showing early degradation signs; can be addressed in the coming days.,Medium,Low,2,Moderate
STEL,Routine telecom equipment testing as per maintenance calendar.,Medium,Low,10,Normal
TREP,Minor electrical fault noted during inspection; repair can be planned within the week.,Medium,Low,3,Moderate
SSIG,Signal equipment condition slightly below standard; can be addressed in the coming days.,Low,Low,0,Moderate
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Low,Medium,12,Normal
EOMT,Material train unloading slightly behind schedule; can be resolved in the coming days.,Medium,High,1,Urgent
SSIG,Signal equipment fault detected affecting reliability; urgent maintenance recommended.,Medium,Medium,1,Urgent
TOHE,OHE component showing early degradation signs; can be addressed in the coming days.,Low,High,3,Urgent
TREP,Minor electrical fault noted during inspection; repair can be planned within the week.,Medium,High,1,Urgent
SREP,Signalling equipment fault at a key location is affecting safe train working; immediate repair required.,Medium,Medium,-1,Critical
TOHE,Routine OHE cleaning and inspection as per periodic schedule.,Low,Low,9,Normal
SREP,Signalling equipment showing wear during inspection; can be addressed in the coming days.,Medium,Low,1,Moderate
EOMT,Material train unloading slightly behind schedule; can be resolved in the coming days.,Low,Low,0,Moderate
SREP,Routine signalling equipment upkeep as per periodic schedule.,Medium,Low,10,Normal
ERRL,Moderate rail wear observed during routine inspection; renewal can be planned within the week.,Low,High,3,Urgent
ERRL,Scheduled rail replacement under normal asset renewal programme.,Low,Low,10,Normal
ETMR,Standard track upkeep carried out as part of regular maintenance cycle.,Medium,Low,14,Normal
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Medium,Low,14,Normal
OTHR,Unclassified critical infrastructure issue reported requiring immediate attention.,High,Low,-3,Critical
ETMW,Track machine breakdown during possession has left the rail section unsafe for train movement; immediate rectification required.,High,Low,-3,Critical
TPWR,Traction power system logged as normal during the latest periodic check.,Low,Low,6,Normal
EOMT,Standard material train scheduling update for periodic track renewal work.,Low,Low,4,Normal
TREP,Major electrical fault detected in traction substation equipment; immediate repair required to prevent outage.,Medium,High,0,Critical
TREP,Minor electrical fault noted during inspection; repair can be planned within the week.,Low,High,5,Urgent
ERRL,Severe rail fracture detected on the running line; immediate replacement required to prevent derailment.,High,Medium,0,Critical
TREP,Routine electrical equipment servicing as per maintenance schedule.,Low,Medium,3,Moderate
SSIG,Signal failure at the junction causing manual working; immediate rectification required to restore safe operations.,Medium,Medium,-2,Critical
SREP,Signalling equipment fault at a key location is affecting safe train working; immediate repair required.,High,Low,-2,Critical
ERRL,Significant rail wear beyond permissible limits identified during inspection; replacement needed soon.,High,Low,1,Urgent
ETMR,Track surface slightly uneven per latest patrol; can be addressed in the coming days.,Medium,High,1,Urgent
TPWR,Traction power system logged as normal during the latest periodic check.,Medium,High,14,Moderate
SSIG,Signal equipment check completed as part of the regular inspection cycle.,Medium,Low,5,Moderate
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Medium,Low,13,Normal
SREP,Standard signalling equipment check completed under regular maintenance.,Low,Medium,7,Moderate
ETMW,"Scheduled track machine servicing due; minor calibration drift observed, can be addressed in the coming days.",Low,High,5,Urgent
ERRL,Severe rail fracture detected on the running line; immediate replacement required to prevent derailment.,High,Low,-2,Critical
TREP,Standard electrical equipment check completed under periodic maintenance.,Low,High,10,Moderate
ERRL,Routine rail renewal as part of periodic asset lifecycle replacement.,Medium,Low,13,Normal
ETMW,Periodic track machine inspection completed as scheduled; equipment functioning normally.,Medium,High,7,Moderate
EOMT,"Material train loading operation delayed, blocking siding access; needs prompt resolution.",High,Medium,1,Critical
STEL,Telecom system failure has cut off communication with the field; immediate restoration required.,High,High,-1,Critical
ETMW,Recurring track machine faults are affecting the maintenance schedule and need urgent correction.,High,Medium,2,Critical
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Low,Low,5,Normal
SSIG,Signal equipment condition slightly below standard; can be addressed in the coming days.,Medium,High,3,Urgent
ETMW,Track machine logged as functioning normally during the latest periodic check.,Low,Medium,10,Normal
ETMR,Standard track upkeep carried out as part of regular maintenance cycle.,Medium,Low,10,Normal
TREP,Electrical equipment showing minor performance dip; can be addressed in the coming days.,Medium,High,6,Urgent
ETMR,Track maintenance logged as completed under the regular upkeep cycle.,Low,Medium,13,Normal
SSIG,Signal failure at the junction causing manual working; immediate rectification required to restore safe operations.,High,Medium,-1,Critical
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Medium,Low,3,Moderate
SREP,Signalling relay malfunction detected; urgent repair needed to avoid service impact.,Medium,Low,1,Urgent
TPWR,Periodic traction power equipment check completed with no issues found.,Low,Medium,10,Normal
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Medium,Low,10,Normal
EOMT,Standard material train scheduling update for periodic track renewal work.,Medium,Low,14,Normal
STEL,Telecom equipment check completed under the regular maintenance schedule.,Low,Medium,3,Moderate
TREP,Electrical equipment fault at the substation has caused a loss of supply; immediate repair required.,High,High,0,Critical
SSIG,Signal equipment check completed as part of the regular inspection cycle.,Medium,Low,9,Moderate
ETMR,Track maintenance logged as completed under the regular upkeep cycle.,Low,High,7,Moderate
STEL,Communication equipment fault causing intermittent signal loss; urgent repair recommended.,Medium,High,1,Critical
TREP,Electrical equipment fault at the substation has caused a loss of supply; immediate repair required.,High,Low,-2,Critical
ERRL,Rail condition monitored as slightly below standard; renewal can be addressed in the coming days.,Medium,Low,5,Moderate
SREP,Signalling equipment check completed under the regular maintenance cycle.,Low,Low,11,Normal
EOMT,Material train derailment risk identified due to loose ballast on the approach; immediate clearance needed.,Medium,Medium,-3,Critical
SSIG,Signal failure at the junction causing manual working; immediate rectification required to restore safe operations.,Medium,Low,-2,Urgent
SSIG,Signal aspect malfunction posing safety risk to train movement; immediate correction required.,High,Medium,-1,Critical
TPWR,Periodic traction power equipment check completed with no issues found.,Medium,High,13,Moderate
ERRL,Rail crack found extending across the running surface; immediate replacement required to prevent failure.,Medium,High,-2,Critical
TREP,Major electrical fault detected in traction substation equipment; immediate repair required to prevent outage.,High,High,-1,Critical
ETMR,Slight track unevenness observed on routine patrol; repair can be planned within the week.,Medium,High,7,Urgent
ERRL,Scheduled rail replacement under normal asset renewal programme.,Low,Low,11,Normal
STEL,Telecom equipment fault is disrupting coordination; urgent repair recommended.,Medium,Low,1,Urgent
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Medium,Low,10,Normal
ETMW,Track machine showing repeated operational faults affecting maintenance output; needs prompt repair.,Medium,Medium,2,Urgent
STEL,Telecom equipment check completed under the regular maintenance schedule.,Medium,High,6,Moderate
ETMW,Track machine breakdown during possession has left the rail section unsafe for train movement; immediate rectification required.,Medium,Medium,-2,Critical
ETMW,Track machine calibration slightly off standard; can be addressed in the coming days.,Low,Medium,1,Moderate
OTHR,Urgent miscellaneous fault reported with significant safety implications; immediate action required.,Medium,Medium,-4,Critical
TOHE,OHE insulator failure causing sparking incidents; immediate maintenance required to avoid service disruption.,High,High,-3,Critical
TREP,Electrical equipment fault is affecting supply reliability; urgent repair recommended.,Medium,Low,1,Urgent
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Medium,High,3,Urgent
SSIG,Signal aspect malfunction posing safety risk to train movement; immediate correction required.,Medium,High,-5,Critical
TREP,Major electrical fault detected in traction substation equipment; immediate repair required to prevent outage.,Medium,Low,0,Urgent
EOMT,Material train unloading slightly behind schedule; can be resolved in the coming days.,Medium,Medium,0,Urgent
ERRL,Rail wear pattern approaching the replacement limit; urgent renewal recommended.,High,High,2,Critical
TPWR,Traction power readings fluctuating beyond normal range; urgent correction needed.,High,High,1,Critical
SSIG,Signal relay showing erratic behaviour affecting reliability; urgent maintenance recommended.,High,High,2,Critical
TOHE,OHE conductor damage found posing an immediate safety hazard; urgent maintenance required.,High,High,-3,Critical
ETMR,Track buckling reported due to extreme heat; immediate repair required for safe train passage.,Medium,Medium,-3,Critical
EOMT,Material train derailment risk identified due to loose ballast on the approach; immediate clearance needed.,High,High,-2,Critical
TPWR,Routine traction power system inspection as per maintenance calendar.,Medium,High,9,Moderate
SREP,Signalling equipment check completed under the regular maintenance cycle.,Low,Low,5,Normal
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Medium,Medium,12,Moderate
TREP,Electrical equipment fault is affecting supply reliability; urgent repair recommended.,High,High,1,Critical
ETMR,Track alignment fault found during inspection; urgent correction recommended.,High,Low,2,Urgent
ERRL,Rail section nearing renewal threshold as per condition monitoring; can be addressed in the coming days.,Medium,High,4,Urgent
SREP,Routine signalling equipment upkeep as per periodic schedule.,Low,Medium,10,Normal
STEL,Telecom system failure has cut off communication with the field; immediate restoration required.,High,High,-4,Critical
STEL,Communication equipment fault causing intermittent signal loss; urgent repair recommended.,High,Low,2,Urgent
SREP,Signalling equipment condition slightly below standard; can be addressed in the coming days.,Medium,High,0,Urgent
SREP,Signalling equipment showing intermittent faults affecting reliability; urgent repair recommended.,Medium,High,1,Critical
EOMT,Material train unloading slightly behind schedule; can be resolved in the coming days.,Medium,High,0,Urgent
TOHE,OHE component showing early degradation signs; can be addressed in the coming days.,Low,High,5,Urgent
TPWR,Traction power system logged as normal during the latest periodic check.,Medium,High,5,Urgent
SSIG,Signal system fault has disrupted safe train working; immediate rectification required.,High,Medium,0,Critical
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Medium,High,4,Urgent
SSIG,Signal equipment check completed as part of the regular inspection cycle.,Low,Medium,9,Moderate
EOMT,Material train stopped unsafely on the running line due to a mechanical issue; immediate clearance required.,Medium,Medium,-4,Critical
ETMW,Periodic track machine inspection completed as scheduled; equipment functioning normally.,Low,Low,3,Normal
ETMR,Track surface slightly uneven per latest patrol; can be addressed in the coming days.,Low,Medium,0,Moderate
SSIG,Routine signal maintenance as per periodic inspection calendar.,Low,Low,14,Normal
STEL,Minor telecom connectivity issue observed during inspection; can be resolved within the week.,Low,Medium,5,Moderate
EOMT,Routine material train logistics coordination for upcoming ballast supply.,Low,Low,12,Normal
TPWR,Periodic traction power equipment check completed with no issues found.,Low,Medium,9,Moderate
ERRL,Moderate rail wear observed during routine inspection; renewal can be planned within the week.,Medium,High,4,Urgent
STEL,Minor telecom connectivity issue observed during inspection; can be resolved within the week.,Medium,Medium,5,Urgent
SSIG,Standard signal equipment check completed with no issues found.,Low,Medium,10,Normal
ETMW,Sudden track machine failure mid-operation has blocked the line unsafely; urgent intervention needed to restore safe passage.,High,Low,-4,Critical
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Medium,High,5,Urgent
TOHE,OHE insulator failure causing sparking incidents; immediate maintenance required to avoid service disruption.,High,Low,-2,Critical
TPWR,Traction power parameters slightly outside normal range; can be corrected within the week.,Medium,High,2,Urgent
ERRL,Critical rail defect identified during ultrasonic testing; immediate renewal necessary for safe operations.,High,Low,-1,Critical
TREP,Standard electrical equipment check completed under periodic maintenance.,Low,High,9,Moderate
TOHE,OHE inspection completed as part of the regular maintenance programme.,Low,Medium,10,Normal
TOHE,Routine OHE cleaning and inspection as per periodic schedule.,Low,Low,14,Normal
TPWR,Scheduled traction power equipment check showing early wear signs; can be addressed in the coming days.,Medium,High,6,Urgent
OTHR,Unclassified critical infrastructure issue reported requiring immediate attention.,High,Medium,-3,Critical
OTHR,General maintenance item found slightly below standard; can be addressed in the coming days.,Low,High,7,Moderate
OTHR,Unclassified critical infrastructure issue reported requiring immediate attention.,Medium,High,-1,Critical
SREP,Signalling equipment check completed under the regular maintenance cycle.,Low,Low,3,Normal
ETMR,Slight track unevenness observed on routine patrol; repair can be planned within the week.,Medium,Low,6,Moderate
ETMR,Slight track unevenness observed on routine patrol; repair can be planned within the week.,Medium,Low,5,Moderate
TPWR,"OHE wire snapped near the station yard, posing immediate electrocution and traffic hazard; urgent power block required.",High,Low,-4,Critical
ETMW,Periodic track machine inspection completed as scheduled; equipment functioning normally.,Low,Low,10,Normal
SSIG,Routine signal maintenance as per periodic inspection calendar.,Low,Medium,12,Normal
TREP,Electrical equipment showing minor performance dip; can be addressed in the coming days.,Low,High,0,Urgent
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Low,Low,9,Normal
SREP,Signalling equipment showing intermittent faults affecting reliability; urgent repair recommended.,High,Medium,2,Critical
SREP,Signalling equipment failure detected at a key interlocking point; immediate repair necessary for safe operations.,High,Medium,-5,Critical
TOHE,OHE insulator failure causing sparking incidents; immediate maintenance required to avoid service disruption.,Medium,Low,0,Urgent
ETMR,Routine track patrol maintenance as per periodic schedule.,Low,Medium,10,Normal
SREP,Signalling relay malfunction detected; urgent repair needed to avoid service impact.,Medium,High,2,Critical
SSIG,Intermittent signal aspect faults reported; urgent maintenance needed to prevent failure.,High,Low,2,Urgent
TOHE,OHE inspection completed as part of the regular maintenance programme.,Low,Medium,12,Normal
ETMW,Track machine performance slightly below standard; servicing can be planned within the week.,Medium,High,0,Urgent
TREP,Routine electrical equipment servicing as per maintenance schedule.,Low,Medium,11,Normal
TPWR,"OHE wire snapped near the station yard, posing immediate electrocution and traffic hazard; urgent power block required.",Medium,High,-1,Critical
TREP,Standard electrical equipment check completed under periodic maintenance.,Medium,Low,10,Normal
ETMR,Standard track upkeep carried out as part of regular maintenance cycle.,Medium,Medium,3,Moderate
ETMR,Track maintenance logged as completed under the regular upkeep cycle.,Low,Low,11,Normal
SSIG,Signal system fault has disrupted safe train working; immediate rectification required.,Medium,High,-1,Critical
EOMT,Material train derailment risk identified due to loose ballast on the approach; immediate clearance needed.,Medium,High,-1,Critical
OTHR,General maintenance check completed under the regular schedule.,Medium,High,14,Moderate
EOMT,Standard material train scheduling update for periodic track renewal work.,Low,Low,8,Normal
ETMW,Track machine performance slightly below standard; servicing can be planned within the week.,Low,High,5,Urgent
STEL,Complete communication link failure between control office and field staff; immediate restoration required.,High,Low,-4,Critical
STEL,Telecom equipment fault is disrupting coordination; urgent repair recommended.,High,Medium,1,Critical
SREP,Standard signalling equipment check completed under regular maintenance.,Medium,High,6,Moderate
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Low,Medium,8,Moderate
ERRL,Moderate rail wear observed during routine inspection; renewal can be planned within the week.,Low,Medium,7,Moderate
EOMT,Routine material train logistics coordination for upcoming ballast supply.,Low,Low,6,Normal
STEL,Routine telecom equipment testing as per maintenance calendar.,Low,Medium,10,Normal
SREP,Signalling equipment showing wear during inspection; can be addressed in the coming days.,Low,Medium,3,Moderate
TPWR,Routine traction power system inspection as per maintenance calendar.,Low,High,6,Moderate
TOHE,OHE component showing early degradation signs; can be addressed in the coming days.,Medium,High,3,Urgent
TPWR,"OHE wire snapped near the station yard, posing immediate electrocution and traffic hazard; urgent power block required.",Medium,Low,0,Urgent
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Medium,Low,12,Normal
OTHR,Unclassified infrastructure fault poses an immediate safety concern; urgent action required.,High,Low,-3,Critical
SSIG,Standard signal equipment check completed with no issues found.,Medium,Medium,5,Moderate
STEL,Telecom equipment check completed under the regular maintenance schedule.,Medium,High,5,Urgent
EOMT,Material train stopped unsafely on the running line due to a mechanical issue; immediate clearance required.,High,High,-5,Critical
TREP,Standard electrical equipment check completed under periodic maintenance.,Low,Medium,11,Normal
STEL,Minor telecom connectivity issue observed during inspection; can be resolved within the week.,Medium,Medium,4,Urgent
TPWR,Traction power supply fluctuation affecting multiple sections; requires urgent attention.,Medium,Medium,1,Urgent
TOHE,OHE conductor damage found posing an immediate safety hazard; urgent maintenance required.,High,High,-2,Critical
ETMR,Severe track misalignment detected posing derailment risk; immediate correction needed.,High,Low,-5,Critical
SSIG,Signal system fault has disrupted safe train working; immediate rectification required.,High,High,-4,Critical
ETMR,Track geometry failure detected posing an immediate derailment risk; urgent repair required.,Medium,Medium,-5,Critical
EOMT,Routine material train logistics coordination for upcoming ballast supply.,Low,Low,4,Normal
TPWR,Traction power readings fluctuating beyond normal range; urgent correction needed.,Medium,Low,1,Urgent
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Low,Medium,12,Normal
ETMW,Track machine performance slightly below standard; servicing can be planned within the week.,Medium,Low,3,Moderate
EOMT,Minor delay in material train unloading noted; can be adjusted within the week.,Low,Medium,5,Moderate
SSIG,Routine signal maintenance as per periodic inspection calendar.,Medium,Low,14,Normal
OTHR,General maintenance item requiring attention in the coming days.,Low,Low,4,Moderate
ETMW,Track machine logged as functioning normally during the latest periodic check.,Medium,Medium,4,Moderate
SSIG,Signal aspect malfunction posing safety risk to train movement; immediate correction required.,Medium,Low,-3,Urgent
SSIG,Signal equipment showing minor irregularities during routine check; can be addressed in the coming days.,Low,High,3,Urgent
TPWR,Periodic traction power equipment check completed with no issues found.,Low,Low,11,Normal
SREP,Routine signalling equipment upkeep as per periodic schedule.,Low,Low,5,Normal
ETMW,"Scheduled track machine servicing due; minor calibration drift observed, can be addressed in the coming days.",Medium,Medium,4,Urgent
TREP,Electrical equipment fault at the substation has caused a loss of supply; immediate repair required.,Medium,Low,-2,Urgent
ETMR,Significant track misalignment detected affecting ride quality; urgent repair recommended.,High,Medium,2,Critical
OTHR,Unclassified critical infrastructure issue reported requiring immediate attention.,High,High,0,Critical
STEL,Routine telecom equipment testing as per maintenance calendar.,Medium,Low,12,Normal
SREP,Signalling equipment failure detected at a key interlocking point; immediate repair necessary for safe operations.,Medium,Low,-5,Urgent
TPWR,Periodic traction power equipment check completed with no issues found.,Medium,Low,14,Normal
TOHE,Routine OHE cleaning and inspection as per periodic schedule.,Low,Low,4,Normal
TOHE,OHE insulator failure causing sparking incidents; immediate maintenance required to avoid service disruption.,High,Medium,-3,Critical
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Low,Low,14,Normal
SSIG,Signal equipment showing minor irregularities during routine check; can be addressed in the coming days.,Medium,High,5,Urgent
SSIG,Standard signal equipment check completed with no issues found.,Medium,High,4,Urgent
ERRL,Rail corrugation exceeding safe limits detected on the section; replacement recommended urgently.,Medium,High,2,Critical
ETMR,Slight track unevenness observed on routine patrol; repair can be planned within the week.,Medium,Medium,4,Urgent
TPWR,Periodic traction power equipment check completed with no issues found.,Low,High,6,Moderate
ETMW,Track machine logged as functioning normally during the latest periodic check.,Low,Medium,12,Normal
TPWR,Traction power interruption reported on the corridor causing service delays; needs urgent repair.,Medium,Medium,2,Urgent
ERRL,Rail condition monitored as slightly below standard; renewal can be addressed in the coming days.,Medium,Medium,3,Urgent
TREP,Electrical equipment showing minor performance dip; can be addressed in the coming days.,Medium,High,1,Urgent
TREP,Routine electrical equipment servicing as per maintenance schedule.,Low,Low,5,Normal
EOMT,Unsafe material train loading condition reported at the yard; immediate corrective action required.,Medium,Low,-4,Urgent
SREP,Signalling equipment condition slightly below standard; can be addressed in the coming days.,Low,High,2,Urgent
TPWR,Traction power equipment showing slight deviation from standard; can be addressed in the coming days.,Medium,High,0,Urgent
SREP,Signalling relay malfunction detected; urgent repair needed to avoid service impact.,High,Low,1,Urgent
TPWR,Routine traction power system inspection as per maintenance calendar.,Medium,Low,4,Moderate
TPWR,Traction power system fault has left the section without power supply; immediate restoration required.,High,Low,-5,Critical
STEL,Routine telecom equipment testing as per maintenance calendar.,Low,Medium,12,Normal
EOMT,Unsafe material train loading condition reported at the yard; immediate corrective action required.,High,Medium,-1,Critical
TPWR,Routine traction power system inspection as per maintenance calendar.,Low,Medium,11,Normal
SSIG,Signal relay showing erratic behaviour affecting reliability; urgent maintenance recommended.,Medium,High,1,Critical
SSIG,Signal system fault has disrupted safe train working; immediate rectification required.,Medium,Low,-2,Urgent
SSIG,Signal failure at the junction causing manual working; immediate rectification required to restore safe operations.,Medium,Low,-1,Urgent
TPWR,Traction power system fault has left the section without power supply; immediate restoration required.,Medium,Low,0,Urgent
SREP,Point machine failure at a critical junction affecting train safety; immediate repair required.,High,Low,-3,Critical
TOHE,OHE component slightly below standard condition; can be addressed in the coming days.,Medium,Low,1,Moderate
